"time","BANE.CLOSE","SIBN.CLOSE","LKOH.CLOSE","ROSN.CLOSE","SNGS.CLOSE","TATN.CLOSE","IMOEX.CLOSE","MOEXOG.CLOSE"
2017-08-08,2155,207.6,2974,315,27.5,401,1989.61,4837.58
2017-08-09,2140,206,2939,309.25,27.16,389.9,1975.91,4771.96
2017-08-10,2128,207.15,2901.5,305,27.05,388.15,1960.23,4747.63
2017-08-11,2112,206,2860,303.95,26.325,379.45,1944.83,4688.82
2017-08-14,2150,205.55,2883.5,305,26.215,377,1951.75,4690.82
2017-08-15,2121,204.5,2874,304.9,26.535,377.35,1950.28,4696.26
2017-08-16,2116,206.3,2846.5,302.05,26.315,379.25,1942.88,4657.95
2017-08-17,2216,205.8,2841,301.75,26.59,381.5,1941.52,4658.35
2017-08-18,2175,208.9,2829,300.05,26.39,380.95,1930.71,4646.91
2017-08-21,2204,210.2,2854.5,301.1,26.34,375.5,1937.66,4654.98
2017-08-22,2198,209.8,2897,300.95,26.48,381.25,1947.4,4690.25
2017-08-23,2215,205.45,2893.5,303.2,26.74,382.15,1958.52,4684.07
2017-08-24,2314,203.5,2894,301,26.895,383.2,1973.5,4697.43
2017-08-25,2292,206.65,2915,301.5,26.68,385.5,1979.14,4713.52
2017-08-28,2300,207.1,2920,300.95,26.6,388,1987.15,4710.22
2017-08-29,2281,206.5,2894,301,26.46,382.85,1989.12,4691.11
2017-08-30,2251,208,2905,307,26.665,381.55,2008.88,4712.09
2017-08-31,2180,207.55,2940.5,304,27,388,2022.22,4733.84
2017-09-01,2140,207.95,2915,304.1,27.25,386.15,2010.98,4711.57
2017-09-04,2122,205.6,2895,302.6,27.285,385.4,2003.32,4692.29
2017-09-05,2142,206.25,2883.5,302.85,27.6,386,2004.02,4693.28
2017-09-06,2096,207.5,2919,303,27.715,392.5,2014.6,4720.96
2017-09-07,2076,210.3,2876,306,27.025,389.4,2010.17,4695.37
2017-09-08,2061,216,2925,314.95,27.77,395.85,2032.75,4779.48
2017-09-11,2015,224.05,2909,314.2,28.02,391.05,2044.13,4768.64
2017-09-12,1998,223.1,2961.5,314.6,28.04,391.35,2058.8,4796.86
2017-09-13,1980,224.15,2938,314.75,27.9,384.5,2054.19,4792.11
2017-09-14,1970,221.75,2970,319.3,27.9,391.05,2052.25,4838.8
2017-09-15,1990,222.3,2978.5,319.7,28.15,396.6,2053.81,4862.26
2017-09-18,2000,225.4,3032.5,318,28.26,395.5,2059.08,4883.63
2017-09-19,2018,224.35,3025,313,28.495,391.05,2048.99,4867.13
2017-09-20,2060,223.2,2985,315,28.83,399.95,2057.53,4893.58
2017-09-21,2141,222.2,2991.5,316.7,28.88,409.4,2060.24,4927.52
2017-09-22,2107,218.8,2970,316.7,28.725,402.35,2051.63,4906.83
2017-09-25,2114,218.7,3039.5,321.55,29.18,412.1,2069.11,4965.93
2017-09-26,2128,223.2,3022,323.45,29.01,405.7,2071.13,4963.93
2017-09-27,2078,226,3064.5,324.5,29.44,410.95,2081.12,4995.07
2017-09-28,2054,229,3065,321.9,29.47,411.65,2071.64,4978.45
2017-09-29,2065,227,3064,318.95,29.5,411.25,2077.19,4979.82
2017-10-02,2072,225.35,3044.5,315,29.49,403.15,2075.72,4944.34
2017-10-03,2059,226.35,3054,316.15,29.24,404.85,2076.81,4944.66
2017-10-04,2034,225.75,3038.5,318.3,29.3,414.8,2077.09,4977.51
2017-10-05,2080,227.7,3054,319.95,29.38,419.95,2088.32,5018.58
2017-10-06,2139,227,3060,320.6,29.54,425,2093.86,5035.92
2017-10-09,2196,227.55,3052.5,319.1,29.52,421.1,2096.29,5024.23
2017-10-10,2158,226.8,3037.5,319.3,29.55,424.35,2086.91,5023.7
2017-10-11,2140,226.85,3040,320.5,29.795,427.9,2101.07,5066.74
2017-10-12,2199,225.95,3035,319.15,29.9,428.6,2094.96,5062.04
2017-10-13,2181,227.05,3018,320,29.785,430.2,2098.77,5060.47
2017-10-16,2170,235,3020,324.85,29.805,429.75,2106.39,5072.62
2017-10-17,2126,233.15,3003,328,29.6,425.3,2092.57,5053.26
2017-10-18,2135,234.7,3011,326.1,29.5,421.05,2094.4,5055.36
2017-10-19,2134,235,2985,321.55,29.33,415.55,2072.73,5002.55
2017-10-20,2125,234.7,2994,321.8,29.52,424.85,2071.83,5032.85
2017-10-23,2122,231.15,2997,316.5,29.4,418.95,2063.81,5011
2017-10-24,2108,236.4,3018,316.8,29.27,422.6,2061.79,5009.18
2017-10-25,2097,231.75,3005,312.7,29.11,412,2049.48,4960.75
2017-10-26,2113,233.65,2996,311.15,28.8,408.35,2046.69,4933.96
2017-10-27,2148,234.95,3064.5,322,29.375,419.85,2068.76,5030.22
2017-10-30,2186,235.95,3058,321,29.6,424.3,2065.25,5033.05
2017-10-31,2199,245,3096,318.7,29.175,436,2064.31,5054.89
2017-11-01,2219,247.05,3144.5,323.1,29.77,444.4,2082.73,5112.52
2017-11-02,2187,246,3150,318.5,29.195,439,2073.04,5078.54
2017-11-03,2202,250.6,3168.5,317.8,29.315,437.5,2081.15,5080.44
2017-11-07,2239,262.5,3325,329.95,30.11,491.95,2155.55,5336.66
2017-11-08,2277,256.85,3336,333.05,30.6,490,2163.01,5356.28
2017-11-09,2537,260.1,3368,336.9,30.605,491.35,2183.61,5374.97
2017-11-10,2495,256.9,3344.5,329.35,29.9,487,2169.26,5324.73
2017-11-13,2460,259.9,3326,325,29.78,484.3,2167.63,5307.64
2017-11-14,2458,257.9,3325,314.3,30.225,487.5,2166.83,5302.4
2017-11-15,2415,256.7,3296,302.2,29.155,479.6,2131.75,5190.32
2017-11-16,2350,255.2,3304,303.5,28.995,471,2132.65,5162.87
2017-11-17,2377,258.05,3304.5,300.7,29.085,468.85,2131.91,5155.57
2017-11-20,2378,257,3281,300.05,29.33,471,2130.39,5171.05
2017-11-21,2328,261.5,3319.5,299.8,29.41,492.35,2155.82,5233.86
2017-11-22,2325,259.6,3369,302,29.155,488.95,2160.16,5241.71
2017-11-23,2342,259.2,3380,302.3,29.15,483.95,2148.56,5230.08
2017-11-24,2357,262.45,3395,303.8,29.37,479.5,2161.17,5256.18
2017-11-27,2362,263.3,3365,299.9,28.95,483.9,2145.87,5216.98
2017-11-28,2331,260.5,3343,301.3,29.155,480,2149.45,5237.62
2017-11-29,2352,255.85,3308.5,294.45,28.185,467.65,2124.08,5143.23
2017-11-30,2277,251,3292.5,293.6,27.5,456.7,2100.62,5071.72
2017-12-01,2314,253.85,3344,292,27.705,459.75,2105.99,5111.65
2017-12-04,2355,253.4,3390.5,292.7,27.405,511.45,2119.42,5215.93
2017-12-05,2454,252.95,3403,293.4,27.33,506.7,2113.69,5217.24
2017-12-06,2453,250.35,3403,292.4,27.99,510.9,2124.12,5246.01
2017-12-07,2400,249.55,3374.5,292.5,27.67,507,2103.15,5219.7
2017-12-08,2400,245.35,3388.5,293.75,27.7,503.1,2104.99,5214.73
2017-12-11,2282,251.45,3432.5,297.55,28.895,516.95,2148.6,5310.36
2017-12-12,2297,253.9,3473.5,303.1,29.01,517,2160.75,5364.59
2017-12-13,2164,252.5,3458,298.85,29.095,503,2131.94,5319.32
2017-12-14,2249,252,3453.5,300.7,29.3,492.8,2152.41,5296.7
2017-12-15,2246,251,3420,299.65,28.915,487.55,2143.99,5287.84
2017-12-18,2259,251,3395.5,296.5,28.815,503,2134.58,5275.04
2017-12-19,2195,248,3402,293.65,28.4,491.65,2118.16,5226.94
2017-12-20,2208,244.65,3373,293.3,28.035,477.3,2102.97,5162.96
2017-12-21,2189,243.8,3332.5,293.8,28.185,471.95,2093.38,5146.02
2017-12-22,2233,245.55,3347,293.75,28.235,481.6,2102.94,5183.46
2017-12-25,2360,249,3320,298,27.755,481.75,2105.06,5172.23
2017-12-26,2320,249.65,3288,296.55,27.505,483,2097.03,5151.27
2017-12-27,2269,249.95,3283.5,295.45,27.66,482.4,2106.17,5161.87
2017-12-28,2265,245.5,3317,289.85,28.09,477.95,2102.89,5141.97
2017-12-29,2274,244.1,3334.5,291.5,27.89,478.8,2109.74,5152.39
2018-01-03,2321,242.5,3421.5,297.95,27.905,486.8,2152.97,5235.13
2018-01-04,2300,243.7,3501,307,28.175,502,2197.6,5333.19
2018-01-05,2301,244.2,3569.5,311.95,28.22,500.9,2207.41,5374.65
2018-01-09,2316,249.1,3628.5,315.1,28.32,511.3,2225.39,5420.2
2018-01-10,2285,253,3641,317.75,28.475,510.3,2232.27,5439.73
2018-01-11,2401,255.7,3687.5,325,28.4,508.95,2246.45,5490.78
2018-01-12,2385,259.9,3908,324.35,28.8,515.55,2262.38,5541.22
2018-01-15,2360,258.55,3876.5,319.95,28.845,518.15,2261.53,5535.91
2018-01-16,2345,259.1,3862,317.5,29.245,528.95,2257.89,5566.98
2018-01-17,2301,262.05,3851.5,326.5,29.945,546,2277.89,5656.16
2018-01-18,2312,269.95,3855,333.1,30.47,560,2297.47,5732.62
2018-01-19,2348,266.45,3825.5,328,30.2,551.2,2286.33,5690.33
2018-01-22,2353,268.5,3870,332.95,30.3,567.15,2308.61,5756.68
2018-01-23,2317,269.35,3841.5,335,30.1,564.4,2298.95,5743.49
2018-01-24,2316,269,3850,344.5,30.4,569.7,2306.99,5784.89
2018-01-25,2320,277.9,3825,351.5,30.8,573.8,2320.03,5835.06
2018-01-26,2310,276.7,3821,351.8,30.38,580,2295.26,5822.31
2018-01-29,2297,279.6,3778,346.35,30.665,578.6,2284.27,5779.11
2018-01-30,2261,280.1,3713,342.1,30.3,565.4,2280.36,5705.16
2018-01-31,2251,279.1,3728,343.2,28.74,565.2,2289.99,5688
2018-02-01,2282,281.2,3760.5,344.95,29.26,578.65,2302.57,5747.83
2018-02-02,2246,283.7,3797,339.9,28.955,579,2281.84,5742.9
2018-02-05,2249,281.2,3752,338.3,29.55,564.4,2276.85,5718.52
2018-02-06,2195,274,3655.5,330,28.605,542.7,2238.24,5592.8
2018-02-07,2220,281.9,3735,336,29.415,563.1,2254.64,5675.09
2018-02-08,2268,286.2,3686,326.65,28.87,555.5,2227.24,5587.27
2018-02-09,2276,280.15,3617.5,324.55,28.315,536.7,2197.12,5493.35
2018-02-12,2289,281.45,3656.5,325.3,28.23,536,2220.12,5520.78
2018-02-13,2282,282.3,3729.5,325.4,28.45,549.75,2250.63,5584.63
2018-02-14,2293,280,3709,326,28.24,554,2257.95,5593.16
2018-02-15,2302,283.95,3730,324.3,28.265,560,2265.45,5610.08
2018-02-16,2295,278.05,3751,324.2,28.505,569,2255.27,5624.36
2018-02-19,2280,282.3,3715,324,28.48,569.05,2254.92,5610.51
2018-02-20,2251,281.6,3744,322,28.415,574.8,2270.12,5638.99
2018-02-21,2269,281.95,3808.5,333.5,29.12,586.3,2320.32,5746.79
2018-02-22,2250,283.05,3836,337.3,29.2,599.5,2336.82,5801.52
2018-02-26,2271,284.65,3839.5,341.8,29.485,602,2353.16,5837.6
